no;dataset;method;b;se
656;219;MI_T;0.500487089;0.132689267
657;219;MI_LOGT;0.486640513;0.126814172
658;220;CC;0.61205405;0.157800645
659;220;MI_T;0.518086493;0.12076205
660;220;MI_LOGT;0.581818163;0.136720389
661;221;CC;0.519694686;0.147537217
662;221;MI_T;0.70051676;0.144287989
663;221;MI_LOGT;0.642239451;0.139614463
664;222;CC;0.575660765;0.14109312
665;222;MI_T;0.701879084;0.136843354
666;222;MI_LOGT;0.698435426;0.122715868
667;223;CC;0.573333859;0.133378327
668;223;MI_T;0.504291713;0.133585945
669;223;MI_LOGT;0.560655534;0.128479779
670;224;CC;0.387857914;0.13416259
671;224;MI_T;0.434376836;0.117722325
672;224;MI_LOGT;0.404206216;0.121460237
673;225;CC;0.608283341;0.147564724
674;225;MI_T;0.563481569;0.127825037
675;225;MI_LOGT;0.567060649;0.139500663
676;226;CC;0.513833582;0.132384792
677;226;MI_T;0.495151043;0.132245749
678;226;MI_LOGT;0.494343877;0.123849891
679;227;CC;0.659905314;0.144244328
680;227;MI_T;0.736710668;0.130533934
681;227;MI_LOGT;0.74975729;0.160379201
682;228;CC;0.5580706;0.13294363
683;228;MI_T;0.54776901;0.153326645
684;228;MI_LOGT;0.504915178;0.114716388
685;229;CC;0.465870768;0.140190795
686;229;MI_T;0.446656466;0.122101374
687;229;MI_LOGT;0.459421009;0.115609832
688;230;CC;0.371792376;0.135219499
689;230;MI_T;0.392579108;0.147885531
690;230;MI_LOGT;0.421401531;0.118768051
691;231;CC;0.671507239;0.12999095
692;231;MI_T;0.696056664;0.124825105
693;231;MI_LOGT;0.705071807;0.119191632
694;232;CC;0.480214655;0.145794213
695;232;MI_T;0.507150948;0.135040432
696;232;MI_LOGT;0.507836223;0.137219191
697;233;CC;0.128379151;0.115805656
698;233;MI_T;0.172923073;0.113061525
699;233;MI_LOGT;0.177189797;0.120338917
700;234;CC;0.622021377;0.154383525
701;234;MI_T;0.489750147;0.130237535
702;234;MI_LOGT;0.525554955;0.116240583
703;235;CC;0.581326127;0.16197966
704;235;MI_T;0.357917339;0.150454804
705;235;MI_LOGT;0.4022277;0.152304903
706;236;CC;0.575211227;0.167332411
707;236;MI_T;0.58918649;0.148223311
708;236;MI_LOGT;0.552732289;0.131460965
709;237;CC;0.512851834;0.131474197
710;237;MI_T;0.502991855;0.120386295
711;237;MI_LOGT;0.484611094;0.117500104
712;238;CC;0.480711758;0.125053078
713;238;MI_T;0.423553199;0.126499772
714;238;MI_LOGT;0.418602407;0.126373336
715;239;CC;0.554470062;0.121680439
716;239;MI_T;0.583310127;0.121995836
717;239;MI_LOGT;0.502566457;0.116631307
718;240;CC;0.482515097;0.133716717
719;240;MI_T;0.442324579;0.134465963
720;240;MI_LOGT;0.441368937;0.127112746
721;241;CC;0.436398089;0.141024694
722;241;MI_T;0.458187729;0.129296407
723;241;MI_LOGT;0.441608787;0.147703499
724;242;CC;0.456225693;0.160567209
725;242;MI_T;0.334025174;0.165794715
726;242;MI_LOGT;0.392564356;0.144680083
727;243;CC;0.398577005;0.186874971
728;243;MI_T;0.247370645;0.154726371
729;243;MI_LOGT;0.297422528;0.143811688
730;244;CC;0.419892877;0.111755922
731;244;MI_T;0.367324114;0.099398188
732;244;MI_LOGT;0.407451093;0.098415896
733;245;CC;0.736704528;0.160717905
734;245;MI_T;0.732872248;0.143143594
735;245;MI_LOGT;0.735587418;0.172658786
736;246;CC;0.836496651;0.184471622
737;246;MI_T;0.747174919;0.143058091
738;246;MI_LOGT;0.717355728;0.14534992
739;247;CC;0.248573378;0.146965832
740;247;MI_T;0.303739965;0.131790146
741;247;MI_LOGT;0.314077139;0.125461236
742;248;CC;0.815995991;0.166255072
743;248;MI_T;0.557577968;0.193295032
744;248;MI_LOGT;0.563535392;0.189661905
745;249;CC;0.587245762;0.165087521
746;249;MI_T;0.553238571;0.138492197
747;249;MI_LOGT;0.477065206;0.141171917
748;250;CC;0.618825138;0.163441211
749;250;MI_T;0.549799085;0.153111696
750;250;MI_LOGT;0.556325853;0.152397141
751;251;CC;0.492487818;0.146185502
752;251;MI_T;0.50303632;0.126113653
753;251;MI_LOGT;0.463968158;0.139608949
754;252;CC;0.453488737;0.132704914
755;252;MI_T;0.439526469;0.140047967
756;252;MI_LOGT;0.471891731;0.130166709
757;253;CC;0.567016602;0.142657802
758;253;MI_T;0.528490841;0.114111438
759;253;MI_LOGT;0.513263166;0.111779802
760;254;CC;0.378700674;0.137242526
761;254;MI_T;0.432377428;0.122115888
762;254;MI_LOGT;0.480657637;0.146415159
763;255;CC;0.471752942;0.159170374
764;255;MI_T;0.455777854;0.13864617
765;255;MI_LOGT;0.403746009;0.167343661
766;256;CC;0.277558893;0.21944195
767;256;MI_T;0.138560757;0.151343107
768;256;MI_LOGT;0.145049497;0.149903059
769;257;CC;0.646453798;0.168698266
770;257;MI_T;0.498306334;0.136136472
771;257;MI_LOGT;0.549926639;0.144195437
772;258;CC;0.485217422;0.144692138
773;258;MI_T;0.481903642;0.131174266
774;258;MI_LOGT;0.504628062;0.117073089
775;259;CC;0.492063552;0.168587029
776;259;MI_T;0.442445189;0.129556686
777;259;MI_LOGT;0.477451235;0.130583152
778;260;CC;0.532889545;0.155093208
779;260;MI_T;0.527850986;0.122882746
780;260;MI_LOGT;0.499534965;0.121787235
781;261;CC;0.631652594;0.134047374
782;261;MI_T;0.57212466;0.127250209
783;261;MI_LOGT;0.540648043;0.114928827
784;262;CC;0.614976406;0.156524882
785;262;MI_T;0.628591418;0.136730909
786;262;MI_LOGT;0.619723499;0.150967568
787;263;CC;0.681004643;0.166757613
788;263;MI_T;0.659886777;0.155298963
789;263;MI_LOGT;0.681063056;0.153714672
790;264;CC;0.435240179;0.117289387
791;264;MI_T;0.410794765;0.117215827
792;264;MI_LOGT;0.425632745;0.107013971
793;265;CC;0.463054359;0.122420214
794;265;MI_T;0.467077017;0.119257316
795;265;MI_LOGT;0.490892917;0.113120928
796;266;CC;0.747321844;0.155538172
797;266;MI_T;0.700554669;0.133567542
798;266;MI_LOGT;0.699981511;0.144658387
799;267;CC;0.593201995;0.171819419
800;267;MI_T;0.35124445;0.172356367
801;267;MI_LOGT;0.413454562;0.163163677
802;268;CC;0.365357518;0.154759943
803;268;MI_T;0.351732284;0.142131299
804;268;MI_LOGT;0.387210727;0.146152809
805;269;CC;0.54188627;0.139685154
806;269;MI_T;0.533524871;0.116627902
807;269;MI_LOGT;0.518842638;0.154128104
808;270;CC;0.579156518;0.163392484
809;270;MI_T;0.500554144;0.15675056
810;270;MI_LOGT;0.417324513;0.141183302
811;271;CC;0.573514044;0.133552879
812;271;MI_T;0.535154283;0.129189551
813;271;MI_LOGT;0.571781754;0.113758609
814;272;CC;0.686630487;0.135584399
815;272;MI_T;0.640525877;0.135605499
816;272;MI_LOGT;0.662922502;0.114401616
817;273;CC;0.389681667;0.158313587
818;273;MI_T;0.460789293;0.137769014
819;273;MI_LOGT;0.520448446;0.138262853
820;274;CC;0.555977464;0.154825807
821;274;MI_T;0.451498002;0.161631465
822;274;MI_LOGT;0.459373295;0.167222828
823;275;CC;0.406441689;0.123448513
824;275;MI_T;0.500475943;0.108072035
825;275;MI_LOGT;0.473520458;0.115694411
826;276;CC;0.541513979;0.130313843
827;276;MI_T;0.565945745;0.121965766
828;276;MI_LOGT;0.54860878;0.110657297
829;277;CC;0.13580294;0.126908541
830;277;MI_T;0.194801703;0.124978326
831;277;MI_LOGT;0.20402725;0.127224401
832;278;CC;0.61443609;0.121687442
833;278;MI_T;0.621506155;0.114750221
834;278;MI_LOGT;0.600633621;0.104269251
835;279;CC;0.375796914;0.128817692
836;279;MI_T;0.3663297;0.12478853
837;279;MI_LOGT;0.375184178;0.129415378
838;280;CC;0.404719651;0.111186601
839;280;MI_T;0.376248986;0.096584931
840;280;MI_LOGT;0.355680197;0.117036417
841;281;CC;0.67861557;0.1614272
842;281;MI_T;0.539903879;0.137874186
843;281;MI_LOGT;0.559084296;0.172045574
844;282;CC;0.457754135;0.104418226
845;282;MI_T;0.434765905;0.090709671
846;282;MI_LOGT;0.440194726;0.104616225
847;283;CC;0.606221855;0.132847473
848;283;MI_T;0.636451125;0.142039463
849;283;MI_LOGT;0.604185522;0.129010886
850;284;CC;0.336795717;0.138198271
851;284;MI_T;0.370908469;0.138397738
852;284;MI_LOGT;0.395951241;0.141451478
853;285;CC;0.351050854;0.116108663
854;285;MI_T;0.332338959;0.106170617
855;285;MI_LOGT;0.332361847;0.110368915
856;286;CC;0.720871508;0.145392492
857;286;MI_T;0.733580589;0.131505325
858;286;MI_LOGT;0.77068156;0.139458224
859;287;CC;0.333248854;0.144791901
860;287;MI_T;0.399319053;0.126615256
861;287;MI_LOGT;0.468955785;0.132392853
862;288;CC;0.45773688;0.137889102
863;288;MI_T;0.411878437;0.138178676
864;288;MI_LOGT;0.45852685;0.126060426
865;289;CC;0.429128945;0.12606968
866;289;MI_T;0.47764495;0.112867594
867;289;MI_LOGT;0.374510676;0.116177544
868;290;CC;0.644243181;0.142556146
869;290;MI_T;0.429168433;0.154371172
870;290;MI_LOGT;0.401878923;0.147581682
871;291;CC;0.485941529;0.131893605
872;291;MI_T;0.480855525;0.122611754
873;291;MI_LOGT;0.516504645;0.113496736
874;292;CC;0.593690097;0.16628471
875;292;MI_T;0.554025114;0.144225985
876;292;MI_LOGT;0.505269408;0.132799789
877;293;CC;0.293961555;0.130478576
878;293;MI_T;0.38123855;0.12827538
879;293;MI_LOGT;0.340176791;0.134969458
880;294;CC;0.188810349;0.154692784
881;294;MI_T;0.349594921;0.161192849
882;294;MI_LOGT;0.351656407;0.131577671
883;295;CC;0.360698611;0.15418762
884;295;MI_T;0.493007243;0.142439365
885;295;MI_LOGT;0.476248145;0.146130323
886;296;CC;0.636674941;0.131758541
887;296;MI_T;0.5561378;0.116101831
888;296;MI_LOGT;0.532739758;0.198730215
889;297;CC;0.576237857;0.163714632
890;297;MI_T;0.582854211;0.128558502
891;297;MI_LOGT;0.566076994;0.155396268
892;298;CC;0.501256824;0.136453301
893;298;MI_T;0.435595721;0.147813976
894;298;MI_LOGT;0.404378653;0.155541196
895;299;CC;0.199084774;0.131255552
896;299;MI_T;0.291292876;0.131406605
897;299;MI_LOGT;0.298243254;0.136166707
898;300;CC;0.50224632;0.136418402
899;300;MI_T;0.524685144;0.112012878
900;300;MI_LOGT;0.539701045;0.127994925
901;301;CC;0.486113042;0.130696267
902;301;MI_T;0.434387743;0.134789005
903;301;MI_LOGT;0.419912547;0.122232273
904;302;CC;0.502044737;0.12237867
905;302;MI_T;0.53120935;0.116358362
906;302;MI_LOGT;0.574825406;0.108283781
907;303;CC;0.436365783;0.132957444
908;303;MI_T;0.55429846;0.102886274
909;303;MI_LOGT;0.599195778;0.124981128
910;304;CC;0.500572324;0.146308497
911;304;MI_T;0.497214764;0.128381863
912;304;MI_LOGT;0.503663898;0.159419626
913;305;CC;0.653188407;0.152679458
914;305;MI_T;0.762337327;0.137439817
915;305;MI_LOGT;0.72905457;0.144607797
916;306;CC;0.769203782;0.156669855
917;306;MI_T;0.637562156;0.141015828
918;306;MI_LOGT;0.632351577;0.128656179
919;307;CC;0.41824007;0.135608226
920;307;MI_T;0.419110864;0.115526438
921;307;MI_LOGT;0.473241001;0.113694616
922;308;CC;0.334754497;0.13633658
923;308;MI_T;0.332416117;0.112459131
924;308;MI_LOGT;0.361277938;0.124372661
925;309;CC;0.597321987;0.13451229
926;309;MI_T;0.585361063;0.125430986
927;309;MI_LOGT;0.635035515;0.136383429
928;310;CC;0.378714114;0.137949139
929;310;MI_T;0.444886118;0.132199898
930;310;MI_LOGT;0.385201454;0.114542253
931;311;CC;0.168126613;0.157877728
932;311;MI_T;0.279097468;0.144515216
933;311;MI_LOGT;0.323032171;0.148151919
934;312;CC;0.454845339;0.130917266
935;312;MI_T;0.388881922;0.129266992
936;312;MI_LOGT;0.427124232;0.111967787
937;313;CC;0.613254011;0.17020981
938;313;MI_T;0.518147945;0.149327889
939;313;MI_LOGT;0.594588101;0.124304742
940;314;CC;0.553032458;0.136414915
941;314;MI_T;0.453527957;0.125703976
942;314;MI_LOGT;0.399898916;0.139860585
943;315;CC;0.452357411;0.122313961
944;315;MI_T;0.507732868;0.129352629
945;315;MI_LOGT;0.485622078;0.121344343
946;316;CC;0.733701766;0.169443309
947;316;MI_T;0.67263037;0.150733501
948;316;MI_LOGT;0.659952641;0.177022263
949;317;CC;0.563053429;0.164379582
950;317;MI_T;0.373579413;0.144532591
951;317;MI_LOGT;0.381682277;0.149977356
952;318;CC;0.341190547;0.12761949
953;318;MI_T;0.364872396;0.115857512
954;318;MI_LOGT;0.397477657;0.120072693
955;319;CC;0.564602673;0.148599043
956;319;MI_T;0.468105942;0.137009174
957;319;MI_LOGT;0.545791984;0.154435664
958;320;CC;0.378075302;0.155699477
959;320;MI_T;0.440683126;0.141933337
960;320;MI_LOGT;0.418640107;0.136490136
961;321;CC;0.5705356;0.13635397
962;321;MI_T;0.494703233;0.123408437
963;321;MI_LOGT;0.575802267;0.119218074
964;322;CC;0.493166387;0.177469268
965;322;MI_T;0.541933596;0.152850583
966;322;MI_LOGT;0.575313687;0.16014266
967;323;CC;0.486393481;0.147228032
968;323;MI_T;0.470365465;0.134783596
969;323;MI_LOGT;0.471283585;0.124521233
970;324;CC;0.943651676;0.190087959
971;324;MI_T;0.718129277;0.123201273
972;324;MI_LOGT;0.749203205;0.145601138
973;325;CC;0.433328539;0.17295076
974;325;MI_T;0.302242398;0.128568217
975;325;MI_LOGT;0.301148564;0.160806328
976;326;CC;0.255969763;0.13206543
977;326;MI_T;0.27051273;0.124407709
978;326;MI_LOGT;0.319053143;0.119542427
979;327;CC;0.592852414;0.163059026
980;327;MI_T;0.650287926;0.133057013
981;327;MI_LOGT;0.631820917;0.154708311
982;328;CC;0.637971282;0.165309981
983;328;MI_T;0.62570864;0.146319464
984;328;MI_LOGT;0.623551965;0.17521517
985;329;CC;0.561468899;0.128679439
986;329;MI_T;0.509153128;0.153400227
987;329;MI_LOGT;0.460157305;0.13123861
988;330;CC;0.570268631;0.131676257
989;330;MI_T;0.59798789;0.123320974
990;330;MI_LOGT;0.611743748;0.117863014
991;331;CC;0.449210614;0.157399282
992;331;MI_T;0.47926569;0.13036634
993;331;MI_LOGT;0.541456103;0.182105064
994;332;CC;0.502820969;0.155439749
995;332;MI_T;0.458704233;0.138677955
996;332;MI_LOGT;0.567202747;0.135459021
997;333;CC;0.621424675;0.127123952
998;333;MI_T;0.64105022;0.142842039
999;333;MI_LOGT;0.677316129;0.123929597
1000;334;CC;0.42252478;0.148725852
1001;334;MI_T;0.554148376;0.129471183
1002;334;MI_LOGT;0.541891158;0.133177191
1003;335;CC;0.297639519;0.137769058
1004;335;MI_T;0.414784521;0.122099258
1005;335;MI_LOGT;0.408056378;0.116861492
1006;336;CC;0.586182356;0.131456077
1007;336;MI_T;0.566269457;0.117271073
1008;336;MI_LOGT;0.563870609;0.110848814
1009;337;CC;0.454857349;0.156625152
1010;337;MI_T;0.415133238;0.116202414
1011;337;MI_LOGT;0.449195713;0.112927824
1012;338;CC;0.639456689;0.133456409
1013;338;MI_T;0.669759154;0.11542391
1014;338;MI_LOGT;0.62593621;0.114846736
1015;339;CC;0.349487185;0.155645877
1016;339;MI_T;0.293203413;0.134427994
1017;339;MI_LOGT;0.257380307;0.132722259
1018;340;CC;0.434621006;0.170445353
1019;340;MI_T;0.462368786;0.163852066
1020;340;MI_LOGT;0.464855969;0.168903187
1021;341;CC;0.384673953;0.137260228
1022;341;MI_T;0.452668458;0.130013928
1023;341;MI_LOGT;0.454327077;0.145884991
1024;342;CC;0.560785115;0.16280821
1025;342;MI_T;0.477848709;0.139876261
1026;342;MI_LOGT;0.478485763;0.12451192
1027;343;CC;0.268883318;0.136579573
1028;343;MI_T;0.296812415;0.117419645
1029;343;MI_LOGT;0.341813356;0.133176386
1030;344;CC;0.336617172;0.156525075
1031;344;MI_T;0.415454328;0.19040212
1032;344;MI_LOGT;0.406240016;0.141117215
1033;345;CC;1.004529357;0.178092778
1034;345;MI_T;0.841185391;0.183534697
1035;345;MI_LOGT;0.874324322;0.149465352
1036;346;CC;0.506799698;0.149568185
1037;346;MI_T;0.532933891;0.142412826
1038;346;MI_LOGT;0.536476016;0.139080584
1039;347;CC;0.686364114;0.146753848
1040;347;MI_T;0.662352979;0.138561383
1041;347;MI_LOGT;0.652889013;0.121456385
1042;348;CC;0.565763116;0.154090226
1043;348;MI_T;0.523951888;0.122863434
1044;348;MI_LOGT;0.541000426;0.137067914
1045;349;CC;0.475590855;0.14674893
1046;349;MI_T;0.475716323;0.108426817
1047;349;MI_LOGT;0.461177737;0.120391496
1048;350;CC;0.823111951;0.175217837
1049;350;MI_T;0.635063708;0.145138487
1050;350;MI_LOGT;0.745249331;0.143868014
1051;351;CC;0.555309951;0.146184385
1052;351;MI_T;0.449447453;0.139166802
1053;351;MI_LOGT;0.430700928;0.134045973
1054;352;CC;0.615245163;0.145191878
1055;352;MI_T;0.658226132;0.144278437
1056;352;MI_LOGT;0.658835888;0.132179841
1057;353;CC;0.492507339;0.138646796
1058;353;MI_T;0.50108844;0.117236264
1059;353;MI_LOGT;0.540087819;0.130062521
1060;354;CC;0.467987478;0.118372694
1061;354;MI_T;0.455818832;0.128707424
1062;354;MI_LOGT;0.48612839;0.109859996
1063;355;CC;0.557132781;0.15594475
1064;355;MI_T;0.611949921;0.12381769
1065;355;MI_LOGT;0.546523929;0.121978872
1066;356;CC;0.774438143;0.147224829
1067;356;MI_T;0.713301003;0.131663918
1068;356;MI_LOGT;0.721008241;0.148575991
1069;357;CC;0.525074959;0.114933617
1070;357;MI_T;0.574567437;0.10754773
1071;357;MI_LOGT;0.579514802;0.112790175
1072;358;CC;0.832273424;0.159686029
1073;358;MI_T;0.783696949;0.136245787
1074;358;MI_LOGT;0.817053199;0.162773669
1075;359;CC;0.445455551;0.164473236
1076;359;MI_T;0.501376212;0.198714912
1077;359;MI_LOGT;0.528135121;0.165137619
1078;360;CC;0.697829723;0.146644905
1079;360;MI_T;0.684796572;0.125766441
1080;360;MI_LOGT;0.665672004;0.128608897
1081;361;CC;0.585107028;0.167507291
1082;361;MI_T;0.509933949;0.146684512
1083;361;MI_LOGT;0.619224727;0.182663754
1084;362;CC;0.527805388;0.15832752
1085;362;MI_T;0.483014703;0.155479431
1086;362;MI_LOGT;0.485625416;0.131156743
1087;363;CC;0.543466866;0.141665444
1088;363;MI_T;0.61429882;0.128211245
1089;363;MI_LOGT;0.582120717;0.161231428
1090;364;CC;0.471659303;0.131489247
1091;364;MI_T;0.412498564;0.114348061
1092;364;MI_LOGT;0.367109716;0.127083004
1093;365;CC;0.543508887;0.135139853
1094;365;MI_T;0.45829308;0.12277168
1095;365;MI_LOGT;0.511973023;0.109990127
1096;366;CC;0.515813351;0.152910367
1097;366;MI_T;0.451496273;0.130022079
1098;366;MI_LOGT;0.452475458;0.127066821
1099;367;CC;0.779542267;0.168541908
1100;367;MI_T;0.814669132;0.148146495
1101;367;MI_LOGT;0.83696723;0.14452821
1102;368;CC;0.928279102;0.171994478
1103;368;MI_T;0.750636637;0.163285583
1104;368;MI_LOGT;0.824040949;0.159338623
1105;369;CC;0.400725186;0.126959801
1106;369;MI_T;0.435106963;0.11845383
1107;369;MI_LOGT;0.397445172;0.1074863
1108;370;CC;0.727680206;0.169213533
1109;370;MI_T;0.683049977;0.154513732
1110;370;MI_LOGT;0.652486444;0.134997219
1111;371;CC;0.576643348;0.145279497
1112;371;MI_T;0.582122743;0.155510783
1113;371;MI_LOGT;0.564365804;0.140195742
1114;372;CC;0.687630296;0.151093885
1115;372;MI_T;0.610073864;0.134122595
1116;372;MI_LOGT;0.607316256;0.137738302
1117;373;CC;0.27758497;0.136004776
1118;373;MI_T;0.324886441;0.113219239
1119;373;MI_LOGT;0.298181176;0.121697009
1120;374;CC;0.63300699;0.162782684
1121;374;MI_T;0.612925947;0.137860283
1122;374;MI_LOGT;0.557897508;0.157351285
1123;375;CC;0.479940116;0.132552862
1124;375;MI_T;0.412762016;0.124189258
1125;375;MI_LOGT;0.40524137;0.120710693
1126;376;CC;0.68455565;0.15697813
1127;376;MI_T;0.585826099;0.142225996
1128;376;MI_LOGT;0.632638931;0.149128035
1129;377;CC;0.615326643;0.147271797
1130;377;MI_T;0.589793861;0.116283439
1131;377;MI_LOGT;0.617983162;0.149698973
1132;378;CC;0.439413518;0.141237408
1133;378;MI_T;0.471091121;0.117740892
1134;378;MI_LOGT;0.458306909;0.123090178
1135;379;CC;0.660743535;0.148735762
1136;379;MI_T;0.711282253;0.138603717
1137;379;MI_LOGT;0.703817248;0.144943312
1138;380;CC;0.335939676;0.140979692
1139;380;MI_T;0.362765253;0.124537639
1140;380;MI_LOGT;0.394182146;0.131200686
1141;381;CC;0.645823359;0.148844957
1142;381;MI_T;0.535502255;0.159923673
1143;381;MI_LOGT;0.469610602;0.15587987
1144;382;CC;0.563595355;0.146005765
1145;382;MI_T;0.616400003;0.144964024
1146;382;MI_LOGT;0.603100657;0.117156215
1147;383;CC;0.567899585;0.155119136
1148;383;MI_T;0.459116042;0.131151661
1149;383;MI_LOGT;0.474884868;0.164302096
1150;384;CC;0.586842179;0.139332116
1151;384;MI_T;0.575978696;0.142632708
1152;384;MI_LOGT;0.548502386;0.139355689
1153;385;CC;0.691215456;0.153051421
1154;385;MI_T;0.559060812;0.135670573
1155;385;MI_LOGT;0.541434824;0.159103051
1156;386;CC;0.775521815;0.154754102
1157;386;MI_T;0.689915299;0.128370509
1158;386;MI_LOGT;0.737487555;0.155458808
1159;387;CC;0.487817645;0.136621386
1160;387;MI_T;0.509893;0.136286214
1161;387;MI_LOGT;0.509943187;0.129494742
1162;388;CC;0.572828054;0.172239318
1163;388;MI_T;0.426162124;0.143380046
1164;388;MI_LOGT;0.539058566;0.183818489
1165;389;CC;0.784982622;0.152707174
1166;389;MI_T;0.723291099;0.125047356
1167;389;MI_LOGT;0.739888072;0.133790746
1168;390;CC;0.645193279;0.141568169
1169;390;MI_T;0.567367673;0.151722804
1170;390;MI_LOGT;0.504683375;0.127375051
1171;391;CC;0.480595887;0.148037717
1172;391;MI_T;0.470903754;0.134164184
1173;391;MI_LOGT;0.446619958;0.117610455
1174;392;CC;0.485960275;0.153209478
1175;392;MI_T;0.48701629;0.135249108
1176;392;MI_LOGT;0.470331609;0.162130937
1177;393;CC;0.588721097;0.146581024
1178;393;MI_T;0.583695352;0.134857669
1179;393;MI_LOGT;0.593312621;0.137885407
1180;394;CC;0.397783041;0.12849462
1181;394;MI_T;0.470362395;0.110029735
1182;394;MI_LOGT;0.427011371;0.140224412
1183;395;CC;0.46777904;0.140442133
1184;395;MI_T;0.445335239;0.118267268
1185;395;MI_LOGT;0.444668174;0.120968513
1186;396;CC;0.567331612;0.153368056
1187;396;MI_T;0.636824727;0.128947109
1188;396;MI_LOGT;0.638605714;0.12833041
1189;397;CC;0.459886432;0.133593887
1190;397;MI_T;0.473057926;0.118038073
1191;397;MI_LOGT;0.393805325;0.120931178
1192;398;CC;0.542063832;0.140088558
1193;398;MI_T;0.626439214;0.116110958
1194;398;MI_LOGT;0.613195717;0.135912448
1195;399;CC;0.435539216;0.136184677
1196;399;MI_T;0.418116421;0.135239676
1197;399;MI_LOGT;0.426676184;0.129801735
1198;400;CC;0.382710457;0.134294003
1199;400;MI_T;0.330180615;0.131763697
1200;400;MI_LOGT;0.323803216;0.133458436
1201;401;CC;0.693576694;0.152844697
1202;401;MI_T;0.599423528;0.137729198
1203;401;MI_LOGT;0.67304647;0.136398107
1204;402;CC;0.377847761;0.132336572
1205;402;MI_T;0.426664412;0.118957192
1206;402;MI_LOGT;0.445134252;0.115091205
1207;403;CC;0.450883806;0.123380825
1208;403;MI_T;0.459998429;0.110923782
1209;403;MI_LOGT;0.437387913;0.115612514
1210;404;CC;0.349307805;0.156177118
1211;404;MI_T;0.336897701;0.163277686
1212;404;MI_LOGT;0.341222733;0.125618309
1213;405;CC;0.613701522;0.149799392
1214;405;MI_T;0.598783314;0.157017395
1215;405;MI_LOGT;0.607376277;0.142883867
1216;406;CC;0.325222284;0.119550601
1217;406;MI_T;0.370876044;0.111704879
1218;406;MI_LOGT;0.375135511;0.109412029
1219;407;CC;0.305133104;0.152660072
1220;407;MI_T;0.361219227;0.134217694
1221;407;MI_LOGT;0.378794312;0.150587156
1222;408;CC;0.639072716;0.159987792
1223;408;MI_T;0.474188238;0.146373168
1224;408;MI_LOGT;0.550231814;0.131383911
1225;409;CC;0.490459412;0.154962987
1226;409;MI_T;0.462537825;0.132882744
1227;409;MI_LOGT;0.474804282;0.130991548
1228;410;CC;0.604848683;0.120373212
1229;410;MI_T;0.549144745;0.101632871
1230;410;MI_LOGT;0.544151604;0.099112049
1231;411;CC;0.260962486;0.159046918
1232;411;MI_T;0.387268335;0.161616981
1233;411;MI_LOGT;0.350961715;0.132865414
1234;412;CC;0.483330786;0.134773418
1235;412;MI_T;0.432792515;0.122418888
1236;412;MI_LOGT;0.42921254;0.140431508
1237;413;CC;0.636373103;0.173589498
1238;413;MI_T;0.565640211;0.170660213
1239;413;MI_LOGT;0.607863963;0.14962323
1240;414;CC;0.575105906;0.147667408
1241;414;MI_T;0.520719051;0.146211475
1242;414;MI_LOGT;0.548481107;0.160482392
1243;415;CC;0.480167568;0.150837347
1244;415;MI_T;0.369892597;0.124333598
1245;415;MI_LOGT;0.35713917;0.12277475
1246;416;CC;0.515102625;0.185390294
1247;416;MI_T;0.585431039;0.173734426
1248;416;MI_LOGT;0.636558354;0.171173424
1249;417;CC;0.600586236;0.210306063
1250;417;MI_T;0.662253976;0.200071365
1251;417;MI_LOGT;0.653236508;0.222594336
1252;418;CC;0.521517932;0.132835135
1253;418;MI_T;0.580642343;0.124532707
1254;418;MI_LOGT;0.575901806;0.113818057
1255;419;CC;0.455932021;0.135059834
1256;419;MI_T;0.391868085;0.129836589
1257;419;MI_LOGT;0.434462577;0.142535791
1258;420;CC;0.576352954;0.13082248
1259;420;MI_T;0.573890269;0.131148458
1260;420;MI_LOGT;0.519847989;0.137387753
1261;421;CC;0.538422644;0.13741377
1262;421;MI_T;0.542565346;0.110274851
1263;421;MI_LOGT;0.546803355;0.112210393
1264;422;CC;0.388149917;0.147830829
1265;422;MI_T;0.484940618;0.153143018
1266;422;MI_LOGT;0.443062991;0.151731133
1267;423;CC;0.440714031;0.153141454
1268;423;MI_T;0.427776247;0.127025485
1269;423;MI_LOGT;0.40446201;0.181590542
1270;424;CC;0.403320313;0.144860074
1271;424;MI_T;0.416511118;0.119248994
1272;424;MI_LOGT;0.361521602;0.122982174
1273;425;CC;0.847067237;0.159352034
1274;425;MI_T;0.68358463;0.147648498
1275;425;MI_LOGT;0.6300807;0.129912406
1276;426;CC;0.262883097;0.15686354
1277;426;MI_T;0.2989012;0.135780856
1278;426;MI_LOGT;0.285238206;0.1392501
1279;427;CC;0.464889675;0.146596372
1280;427;MI_T;0.475897521;0.119278915
1281;427;MI_LOGT;0.466681123;0.127169028
1282;428;CC;0.321861148;0.160074219
1283;428;MI_T;0.35478583;0.163649589
1284;428;MI_LOGT;0.393900692;0.136867866
1285;429;CC;0.439291924;0.122600928
1286;429;MI_T;0.402661324;0.111930467
1287;429;MI_LOGT;0.473445445;0.104667738
1288;430;CC;0.914632261;0.175959304
1289;430;MI_T;0.737684786;0.161754206
1290;430;MI_LOGT;0.681534648;0.151278809
1291;431;CC;0.536261857;0.125990227
1292;431;MI_T;0.60818845;0.119166508
1293;431;MI_LOGT;0.588306904;0.120501995
1294;432;CC;0.522325575;0.166745946
1295;432;MI_T;0.431791723;0.121603847
1296;432;MI_LOGT;0.453891188;0.116390504
